idPlayerNBA,namePlayer,nameFirst,nameLast,slugPosition,slugTeamsBREF,jersey_number,countGames_22_23_game,minutesPerGame_22_23_game,fgmPerGame_22_23_game,fgaPerGame_22_23_game,fgm_fgaPerGame_22_23_game,pctFG_22_23_game,ftmPerGame_22_23_game,ftaPerGame_22_23_game,ftm_ftaPerGame_22_23_game,pctFT_22_23_game,fg3mPerGame_22_23_game,ptsPerGame_22_23_game,trbPerGame_22_23_game,astPerGame_22_23_game,stlPerGame_22_23_game,blkPerGame_22_23_game,tovPerGame_22_23_game,rankcat_PerGame_22_23_game,countGames_22_23_asb,minutesPerGame_22_23_asb,fgmPerGame_22_23_asb,fgaPerGame_22_23_asb,fgm_fgaPerGame_22_23_asb,pctFG_22_23_asb,ftmPerGame_22_23_asb,ftaPerGame_22_23_asb,ftm_ftaPerGame_22_23_asb,pctFT_22_23_asb,fg3mPerGame_22_23_asb,ptsPerGame_22_23_asb,trbPerGame_22_23_asb,astPerGame_22_23_asb,stlPerGame_22_23_asb,blkPerGame_22_23_asb,tovPerGame_22_23_asb,rankcat_PerGame_22_23_asb,countGames_22_23_per36,minutesPerGame_22_23_per36,fgaPerGame_22_23_per36,fgm_fgaPerGame_22_23_per36,pctFG_22_23_per36,ftmPerGame_22_23_per36,ftaPerGame_22_23_per36,ftm_ftaPerGame_22_23_per36,pctFT_22_23_per36,fg3mPerGame_22_23_per36,ptsPerGame_22_23_per36,trbPerGame_22_23_per36,astPerGame_22_23_per36,stlPerGame_22_23_per36,blkPerGame_22_23_per36,tovPerGame_22_23_per36,rankcat_PerGame_22_23_per36,countGames_21_22_game,minutesPerGame_21_22_game,fgmPerGame_21_22_game,fgaPerGame_21_22_game,fgm_fgaPerGame_21_22_game,pctFG_21_22_game,ftmPerGame_21_22_game,ftaPerGame_21_22_game,ftm_ftaPerGame_21_22_game,pctFT_21_22_game,fg3mPerGame_21_22_game,ptsPerGame_21_22_game,trbPerGame_21_22_game,astPerGame_21_22_game,stlPerGame_21_22_game,blkPerGame_21_22_game,tovPerGame_21_22_game,rankcat_PerGame_21_22_game,countGames_20_21_game,minutesPerGame_20_21_game,fgmPerGame_20_21_game,fgaPerGame_20_21_game,fgm_fgaPerGame_20_21_game,pctFG_20_21_game,ftmPerGame_20_21_game,ftaPerGame_20_21_game,ftm_ftaPerGame_20_21_game,pctFT_20_21_game,fg3mPerGame_20_21_game,ptsPerGame_20_21_game,trbPerGame_20_21_game,astPerGame_20_21_game,stlPerGame_20_21_game,blkPerGame_20_21_game,tovPerGame_20_21_game,rankcat_PerGame_20_21_game,countGames_college,minutesPerGame_college,fgmPerGame_college,fgaPerGame_college,fgm_fgaPerGame_college,pctFG_college,ftmPerGame_college,ftaPerGame_college,ftm_ftaPerGame_college,pctFT_college,fg3mPerGame_college,ptsPerGame_college,trbPerGame_college,astPerGame_college,stlPerGame_college,blkPerGame_college,tovPerGame_college,age_player_season,count_seasons,how_acquired,height_weight,draftRank_22_23,depthChart,adp,Yahoo,ESPN,countGames,minutesPerGame,pctFG,pctFT,fg3mPerGame,ptsPerGame,trbPerGame,astPerGame,stlPerGame,blkPerGame,tovPerGame,fgmPerGame,fgaPerGame,ftmPerGame,ftaPerGame,positiontier,RankChange,MMRank,DynastyRank,Icon1,Icon2,Icon3,rankcat_PerGame,rankcat_pctFG,rankcat_pctFT,rankcat_fg3mPerGame,rankcat_ptsPerGame,rankcat_trbPerGame,rankcat_astPerGame,rankcat_stlPerGame,rankcat_blkPerGame,rankcat_tovPerGame,rankpunt_pctFG,rankpunt_pctFT,rankpunt_fg3mPerGame,rankpunt_ptsPerGame,rankpunt_trbPerGame,rankpunt_astPerGame,rankpunt_stlPerGame,rankpunt_blkPerGame,rankpunt_tovPerGame,DraftRank,seasonPointsRank,h2hPointsRank
2544,LeBron James,LeBron,James,SF-PF,LAL,6,55,35.5,11.1,22.2,11.1/22.2,0.5,4.6,5.9,4.6/5.9,0.768,2.2,28.9,8.3,6.8,0.9,0.6,3.2,21,14,32,9.2,20.1,9.2/20.1,0.4573,3.3,4.1,3.3/4.1,0.7939,2.4,24.1,7.8,6,0.7,0.7,3.6,48,55,36,22.5,11.2/22.5,0.5,4.6,6,4.6/6,0.768,2.2,29.3,8.4,6.9,0.9,0.6,3.3,46,56,37.2,11.4,21.8,11.4/21.8,0.524,4.5,6,4.5/6,0.756,2.9,30.3,8.2,6.2,1.3,1.1,3.5,4,45,33.4,9.4,18.3,9.4/18.3,0.513,4,5.7,4/5.7,0.698,2.3,25,7.7,7.8,1.1,0.6,3.7,34,0,0,0,0,0/0,0,0,0,0/0,0,0,0,0,0,0,0,0,38,21,2003 #1,81 / 250,SF6/PF8,SF1,25.6,28,26,55,35.5,0.5,0.78,2.2,28.5,8.3,6.8,0.9,0.6,3.2,11.1,22.2,4.602,5.9,SF4/PF4,0,32,85,10,16,,32,110,413,63,10,39,20,112,97,536,33,26,42,57,43,51,25,31,21,SF8/PF11,12,8
2738,Andre Iguodala,Andre,Iguodala,SF,GSW,9,8,14.1,0.9,1.9,0.9/1.9,0.467,0.3,0.4,0.3/0.4,0.667,0.1,2.1,2.1,2.4,0.5,0.4,1.1,385,5,14,0.8,2.2,0.8/2.2,0.4334,0.4,0.6,0.4/0.6,0.667,0,2,2,2.8,0.6,0.4,0.8,360,8,36,4.8,2.2/4.8,0.467,0.6,1,0.6/1,0.667,0.3,5.4,5.4,6.1,1.3,1,2.9,423,31,19.5,1.5,3.9,1.5/3.9,0.38,0.5,0.6,0.5/0.6,0.75,0.5,4,3.2,3.7,0.9,0.7,0.9,203,63,21.3,1.5,3.9,1.5/3.9,0.383,0.4,0.6,0.4/0.6,0.658,1,4.4,3.5,2.3,0.9,0.6,1.1,236,30,32.1,4.5,10.1,4.5/10.1,0.45,3.1,3.9,3.1/3.9,0.788,0.8,12.9,8.4,4.9,1.6,0.4,2.8,39,20,2004 #9,78 / 215,SF127,0,,438,381,8,14.1,0.467,0.667,0.1,2.1,2.1,2.4,0.5,0.4,1.1,0.8873,1.9,0.2668,0.4,SF9,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
101108,Chris Paul,Chris,Paul,PG,GSW,3,59,32,5,11.3,5/11.3,0.44,2.3,2.7,2.3/2.7,0.831,1.7,13.9,4.3,8.9,1.5,0.4,1.9,28,28,32.1,5.45,11.7,5.5/11.7,0.46795,1.55,1.85,1.6/1.9,0.851307692,1.85,14.3,4.3,8.55,1.45,0.2,1.65,30,59,36,12.7,5.6/12.7,0.44,2.5,3,2.5/3,0.831,1.9,15.6,4.8,10,1.7,0.4,2.2,39,65,32.9,5.6,11.3,5.6/11.3,0.493,2.6,3.1,2.6/3.1,0.837,1,14.7,4.4,10.8,1.9,0.3,2.4,13,70,31.4,6.3,12.6,6.3/12.6,0.499,2.4,2.6,2.4/2.6,0.934,1.5,16.4,4.5,8.9,1.4,0.3,2.2,19,32,33.4,4.5,9.9,4.5/9.9,0.451,4.9,5.8,4.9/5.8,0.834,1.4,15.3,4.5,6.6,2.4,0,2.8,38,19,2005 #4,72 / 175,PG10,PG1,70.6,64,70,59,32,0.44,0.84,1.6,13.5,4.1,8,1.4,0.2,1.9,4.972,11.3,2.52,3,PG5,-2,70,140,6,16,17,70,480,74,119,128,190,11,20,292,466,54,85,75,55,52,148,123,51,75,PG22,65,86
200752,Rudy Gay,Rudy,Gay,SF,ATL,22,56,14.6,1.9,5.1,1.9/5.1,0.38,0.8,0.9,0.8/0.9,0.857,0.6,5.2,2.9,1,0.3,0.3,0.7,393,19,14.16666667,2.416666667,6.416666667,2.4/6.4,0.372909091,1,1.166666667,1/1.2,0.833333333,0.833333333,6.666666667,2.833333333,1.25,0.25,0.416666667,0.75,324,56,36,12.7,4.8/12.7,0.38,1.9,2.2,1.9/2.2,0.857,1.5,12.9,7.2,2.5,0.8,0.8,1.6,364,55,18.9,2.9,6.9,2.9/6.9,0.414,1.1,1.4,1.1/1.4,0.785,1.3,8.1,4.4,1,0.5,0.3,0.9,292,63,21.6,4.2,10,4.2/10,0.42,1.3,1.6,1.3/1.6,0.804,1.7,11.4,4.8,1.4,0.7,0.6,1,167,33,30.8,5.7,12.3,5.7/12.3,0.461,3.1,4.2,3.1/4.2,0.732,0.8,15.2,6.4,2.1,1.8,1.6,2.5,36,18,2006 #8,80 / 250,SF130,0,,340,326,56,14.6,0.38,0.857,0.6,5.2,2.9,1,0.3,0.3,0.7,1.938,5.1,0.7713,0.9,SF9,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
200768,Kyle Lowry,Kyle,Lowry,PG,MIA,7,55,31.2,3.6,8.8,3.6/8.8,0.404,2.1,2.5,2.1/2.5,0.859,1.9,11.2,4.1,5.1,1,0.4,1.9,127,12,22.90909091,2.454545455,5.272727273,2.5/5.3,0.475545455,1.454545455,1.636363636,1.5/1.6,0.9,1.545454545,7.909090909,3.181818182,4.454545455,0.727272727,0.363636364,1.454545455,177,55,36,10.2,4.1/10.2,0.404,2.4,2.8,2.4/2.8,0.859,2.2,12.9,4.7,5.9,1.2,0.4,2.2,248,63,33.9,4.4,10,4.4/10,0.44,2.3,2.8,2.3/2.8,0.851,2.3,13.4,4.5,7.5,1.1,0.3,2.7,70,46,34.8,5.7,13,5.7/13,0.436,3,3.5,3/3.5,0.875,2.8,17.2,5.4,7.3,1,0.3,2.7,57,33,29.3,3.5,7.6,3.5/7.6,0.466,3.7,4.7,3.7/4.7,0.786,0.2,11,4.3,3.7,2.3,0.2,2.1,37,18,2006 #24,72 / 196,PG43,PG1,144.3,145,188,55,31.2,0.41,0.859,1.9,11.2,4.1,5.1,1,0.4,1.9,3.608,8.8,2.1475,2.5,PG6,0,151,,6,,,151,509,58,89,175,190,53,80,154,466,118,170,170,143,132,201,170,145,136,PG48,126,146
200782,P.J. Tucker,P.J.,Tucker,SF,PHI,17,75,25.6,1.3,3,1.3/3,0.427,0.3,0.3,0.3/0.3,0.826,0.7,3.5,3.9,0.8,0.5,0.2,0.6,309,28,25.2,1.4,3.35,1.4/3.4,0.424473684,0.15,0.25,0.2/0.3,0.5,0.9,3.85,4.1,0.8,0.65,0.1,0.4,339,75,36,4.2,1.8/4.2,0.427,0.4,0.4,0.4/0.4,0.826,1,5,5.5,1.1,0.7,0.3,0.8,447,71,27.9,2.9,6,2.9/6,0.484,0.6,0.9,0.6/0.9,0.738,1.1,7.6,5.5,2.1,0.8,0.2,0.9,189,52,26.1,1.3,3.4,1.3/3.4,0.373,0.4,0.5,0.4/0.5,0.75,0.8,3.7,3.9,1.2,0.8,0.4,0.8,270,37,34.5,6.1,11.8,6.1/11.8,0.515,3.8,5.1,3.8/5.1,0.747,0.1,16.1,9.5,2.9,1.8,0.4,3.1,38,13,2006 #35,77 / 245,SF111,PF1,,275,273,75,25.6,0.427,0.826,0.7,3.5,3.9,0.8,0.5,0.2,0.6,1.281,3,0.2478,0.3,SF9,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
201142,Kevin Durant,Kevin,Durant,SF-PF,PHO,35,47,35.6,10.3,18.3,10.3/18.3,0.56,6.5,7.1,6.5/7.1,0.919,2,29.1,6.7,5,0.7,1.4,3.3,5,8,33.75,9.125,16,9.1/16,0.579,5,6,5/6,0.843375,2.75,26,6.375,3.5,0.25,1.25,2.5,27,47,36,18.6,10.4/18.6,0.56,6.6,7.2,6.6/7.2,0.919,2,29.4,6.7,5.1,0.7,1.4,3.4,11,55,37.2,10.5,20.3,10.5/20.3,0.518,6.8,7.4,6.8/7.4,0.91,2.1,29.9,7.4,6.4,0.9,0.9,3.5,3,35,33.1,9.3,17.2,9.3/17.2,0.537,6,6.8,6/6.8,0.882,2.4,26.9,7.1,5.6,0.7,1.3,3.4,9,35,35.9,8.7,18.5,8.7/18.5,0.473,6,7.3,6/7.3,0.816,2.3,25.8,11.1,1.3,1.9,1.9,2.8,34,16,2007 #2,82 / 240,SF1/PF2,PF1,11.4,11,16,47,35.6,0.56,0.919,2,28,6.4,5,0.7,1.4,3.2,10.248,18.3,6.5249,7.1,SF2/PF2,1,9,27,1,,,9,15,4,73,14,71,59,184,18,536,15,18,5,6,6,5,3,11,9,SF2/PF2,18,18
201143,Al Horford,Al,Horford,PF-C,BOS,42,63,30.5,3.6,7.6,3.6/7.6,0.476,0.2,0.3,0.2/0.3,0.714,2.3,9.8,6.2,3,0.5,1,0.6,67,23,30.16666667,4,7.944444444,4/7.9,0.507666667,0.111111111,0.166666667,0.1/0.2,0.75,2.944444444,11.05555556,6.111111111,3.888888889,0.444444444,1.111111111,0.5,29,63,36,9,4.3/9,0.476,0.3,0.4,0.3/0.4,0.714,2.7,11.5,7.3,3.5,0.6,1.1,0.7,99,69,29.1,3.9,8.2,3.9/8.2,0.467,1.2,1.4,1.2/1.4,0.842,1.3,10.2,7.7,3.4,0.7,1.3,0.9,39,28,27.9,5.8,12.9,5.8/12.9,0.45,0.6,0.8,0.6/0.8,0.818,2,14.2,6.7,3.4,0.9,0.9,1,52,38,27.8,4.9,8.1,4.9/8.1,0.608,3.4,5.3,3.4/5.3,0.644,0,13.2,9.5,2.2,0.7,1.8,1.8,37,17,2007 #3,81 / 240,PF17/C21,PF1,125.2,127,159,63,30.5,0.476,0.73,2.1,9.7,6.1,3,0.4,1,0.6,3.6176,7.6,0.219,0.3,PF6/C6,0,104,,6,25,28,104,283,288,67,206,77,120,313,40,178,98,108,124,64,110,99,59,142,147,PF31/C34,110,160
201144,Mike Conley,Mike,Conley,PG,MIN,10,67,30.3,3.9,9.1,3.9/9.1,0.428,2.1,2.5,2.1/2.5,0.834,2,11.9,2.7,6.7,1.1,0.2,1.5,98,27,31.47619048,4.80952381,10.19047619,4.8/10.2,0.462714286,2.857142857,3.285714286,2.9/3.3,0.810705882,2.571428571,15.04761905,3.285714286,4.857142857,1.142857143,0.19047619,1.142857143,63,67,36,10.8,4.6/10.8,0.428,2.5,3,2.5/3,0.834,2.4,14.2,3.2,8,1.3,0.2,1.8,148,72,28.6,4.8,11,4.8/11,0.435,1.8,2.3,1.8/2.3,0.796,2.3,13.7,3,5.3,1.3,0.3,1.7,79,51,29.4,5.6,12.5,5.6/12.5,0.444,2.4,2.8,2.4/2.8,0.852,2.7,16.2,3.5,6,1.4,0.2,1.9,44,39,31.6,4.1,7.9,4.1/7.9,0.518,2.6,3.7,2.6/3.7,0.694,0.5,11.3,3.4,6.1,2.2,0.3,2.2,35,17,2007 #4,73 / 175,PG34,PG1,129.5,121,121,67,30.3,0.428,0.82,2.4,13.4,3,6,1.1,0.2,1.3,3.8948,9.1,1.968,2.4,PG6,0,102,172,,,,102,479,126,49,132,273,36,60,292,392,82,115,138,95,69,150,127,72,114,PG34,86,119
201145,Jeff Green,Jeff,Green,PF-C,HOU,32,56,19.5,2.9,5.9,2.9/5.9,0.488,1.6,2.1,1.6/2.1,0.744,0.5,7.8,2.6,1.2,0.3,0.3,0.8,361,26,20,2.526315789,5.473684211,2.5/5.5,0.475631579,1.789473684,2.157894737,1.8/2.2,0.827357143,0.789473684,7.631578947,2.684210526,1.315789474,0.157894737,0.421052632,0.631578947,296,56,36,10.8,5.3/10.8,0.488,2.9,3.9,2.9/3.9,0.744,1,14.4,4.8,2.3,0.6,0.6,1.5,420,75,24.7,3.7,7.1,3.7/7.1,0.524,2.2,2.6,2.2/2.6,0.833,0.7,10.3,3.1,1.3,0.4,0.4,0.9,249,68,27,3.8,7.8,3.8/7.8,0.492,1.8,2.4,1.8/2.4,0.776,1.5,11,3.9,1.6,0.5,0.4,0.8,203,37,33.3,5.3,10.3,5.3/10.3,0.513,2.7,3.5,2.7/3.5,0.775,1,14.3,6.4,3.2,0.8,1.2,2.6,36,16,2007 #5,80 / 235,PF117/C88,PF2,,309,227,56,19.5,0.488,0.744,0.5,7.8,2.6,1.2,0.3,0.3,0.8,2.8792,5.9,1.5624,2.1,PF9/C9,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
